room_num,40:a8:f0:6b:41:44,14:2d:27:37:99:60,74:3e:2b:3e:9c:d8,74:3e:2b:7e:9c:d8,74:3e:2b:be:9c:d2,74:3e:2b:7c:d4:28,74:3e:2b:3d:7e:18,74:3e:2b:7d:7e:18,74:3e:2b:bd:7e:18,74:3e:2b:bd:7e:12,74:3e:2b:be:9c:d8,74:3e:2b:3c:fb:78,74:3e:2b:7c:fb:78,74:3e:2b:bc:fb:72,74:3e:2b:3d:6d:48,74:3e:2b:7d:6d:48,74:3e:2b:bd:6d:42,fa:8f:ca:52:95:af,30:46:9a:fb:c5:a1,74:3e:2b:3d:86:b8,74:3e:2b:3e:c7:18,74:3e:2b:7e:c7:18,74:3e:2b:be:c7:18,74:3e:2b:be:c7:12,74:3e:2b:be:9d:68,66:eb:8c:0b:20:6e,74:3e:2b:bd:79:b2,74:3e:2b:7d:79:b8,74:3e:2b:3d:79:b8,fa:8f:ca:76:7d:4c,ec:8c:a2:f2:7a:b8,74:3e:2b:bc:fb:7c,74:3e:2b:fd:7e:1c,74:3e:2b:bd:7e:1c,74:3e:2b:7d:7e:1c,74:3e:2b:3d:7e:1c,74:3e:2b:7c:fb:7c,74:3e:2b:fe:9d:6c,74:3e:2b:be:9d:6c,74:3e:2b:bd:79:bc,74:3e:2b:7e:9d:6c,74:3e:2b:3e:9d:6c,74:3e:2b:7d:79:bc,74:3e:2b:3d:79:bc,74:3e:2b:fe:9c:dc,74:3e:2b:be:9c:dc,74:3e:2b:3e:9c:dc,74:3e:2b:bd:6d:4c,74:3e:2b:7d:6d:4c,74:3e:2b:3d:6d:4c,74:3e:2b:fe:c7:1c,74:3e:2b:be:c7:1c,74:3e:2b:7e:c7:1c,74:3e:2b:3e:c7:1c,74:3e:2b:bd:04:dc,74:3e:2b:7d:04:dc,74:3e:2b:3d:04:dc,74:3e:2b:7e:9c:dc,ec:8c:a2:f2:7a:bc,ec:8c:a2:b2:7a:bc,ec:8c:a2:72:7a:bc,ec:8c:a2:32:7a:bc,ec:8c:a2:b2:7a:b8,ec:8c:a2:72:7a:b8,ec:8c:a2:32:7a:b8,74:3e:2b:bc:d4:2c,74:3e:2b:7c:d4:2c,74:3e:2b:be:9d:62,74:3e:2b:7e:9d:68,74:3e:2b:3e:9d:68,74:3e:2b:bc:b6:8c,74:3e:2b:7c:b6:88,74:3e:2b:7d:86:b8,74:3e:2b:bc:d4:22,c8:3a:35:90:b2:11,32:cd:a7:fc:3b:2b,74:3e:2b:7d:6e:68,74:3e:2b:3d:6e:68,74:3e:2b:bc:d2:dc,74:3e:2b:3c:d2:dc,74:3e:2b:bc:d2:d2,74:3e:2b:7c:d2:d8,74:3e:2b:3c:d2:d8,74:3e:2b:bd:85:a2,74:3e:2b:3d:85:a8,74:3e:2b:7d:04:d8,74:3e:2b:7d:85:ac,74:3e:2b:3d:85:ac,de:9f:db:91:0e:dd,2c:30:33:f8:b8:b9,74:3e:2b:bd:86:bc,74:3e:2b:7d:86:bc,74:3e:2b:3d:86:bc,74:3e:2b:3c:d4:28,74:3e:2b:bd:6e:62,74:3e:2b:bd:6e:68,74:3e:2b:7c:d2:dc,74:3e:2b:3d:04:d8,74:3e:2b:bd:04:d2,b4:2a:0e:c7:0f:ae,74:3e:2b:bd:86:b2,fa:8f:ca:54:a2:6d,74:3e:2b:be:1f:e8,b8:ee:0e:d6:53:72,74:3e:2b:bd:6f:88,74:3e:2b:7e:a3:38,74:3e:2b:3e:a3:38,74:3e:2b:be:a3:32,74:3e:2b:3d:6f:88,74:3e:2b:bc:b6:82,78:29:ed:4c:b2:51,74:3e:2b:be:88:28,74:3e:2b:be:c7:58,74:3e:2b:bd:6f:82,74:3e:2b:7d:6f:88,74:3e:2b:3c:b6:88,10:86:8c:18:48:e8,58:20:b1:3c:74:1f,74:3e:2b:7c:d5:08,74:3e:2b:be:a3:38
3,48,26,106,106,112,40,42,42,48,42,108,36,38,32,50,58,50,34,50,0,56,56,58,56,60,0,80,86,80,60,54,0,32,32,32,32,0,56,56,62,56,56,62,62,104,104,106,0,0,30,52,52,46,50,34,32,30,106,44,44,44,44,46,48,46,36,36,60,58,60,0,26,36,40,22,34,30,30,22,24,50,56,50,30,30,38,0,0,26,24,0,0,0,40,30,32,22,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,46,26,106,106,112,40,0,0,48,0,108,36,40,0,50,58,50,34,50,0,56,56,54,56,68,0,80,84,80,66,54,0,32,32,32,32,0,56,56,60,56,56,60,60,104,104,106,30,0,32,52,54,52,52,30,30,30,106,44,44,44,44,46,48,46,0,0,60,58,60,0,26,36,40,22,34,30,30,22,22,50,56,50,30,30,30,0,0,26,24,0,0,0,40,30,32,22,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,0,106,106,112,40,0,0,48,0,108,36,40,0,50,58,50,34,50,0,56,56,54,56,68,0,80,84,80,66,54,0,30,30,32,0,0,58,56,60,56,56,60,60,106,106,106,0,0,30,54,54,54,54,30,30,30,106,46,48,44,44,46,48,46,0,0,60,58,60,0,26,36,40,22,34,30,30,22,20,50,56,50,30,30,40,0,0,26,24,0,0,0,40,30,32,22,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,46,0,106,106,112,40,0,0,48,0,108,0,40,0,54,62,52,34,50,0,56,56,58,56,54,0,78,84,78,70,54,0,32,32,32,32,0,58,58,62,58,58,62,62,106,106,106,0,0,0,54,54,56,52,28,30,30,106,46,44,46,46,46,48,46,36,36,60,58,60,0,26,36,40,22,34,30,30,0,22,52,56,50,30,30,40,0,0,26,24,0,0,0,40,30,32,0,44,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,0,106,106,0,0,0,0,48,0,108,0,40,0,54,62,52,34,50,0,56,56,58,56,54,0,78,84,78,66,54,28,32,32,30,34,28,56,56,62,56,56,62,62,104,106,106,0,0,0,58,56,54,54,28,30,28,106,46,46,46,44,46,48,46,0,0,62,58,60,0,26,36,40,22,34,30,30,0,20,50,56,50,30,30,40,0,0,26,24,0,0,0,40,30,32,0,44,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,42,26,106,106,0,0,0,0,48,0,108,0,42,0,54,62,52,34,52,0,56,56,58,56,54,0,80,86,80,66,54,0,30,30,32,0,0,54,54,60,54,54,60,60,106,108,108,0,0,0,54,52,52,54,0,0,0,108,46,46,44,44,46,48,46,0,0,62,58,60,0,26,0,40,0,0,30,30,0,18,38,36,38,30,30,40,0,0,26,24,0,0,0,40,30,32,18,46,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,50,26,106,106,0,0,0,0,48,0,108,0,42,0,54,46,52,34,52,0,56,56,62,56,54,0,80,88,80,66,54,0,32,32,0,0,0,56,56,60,56,56,60,62,108,108,108,0,0,0,54,52,52,54,30,30,30,108,44,46,48,44,46,48,46,36,36,62,58,0,0,26,0,40,0,0,30,30,0,0,38,36,38,30,30,40,0,0,26,24,22,0,0,40,30,32,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,26,106,106,0,0,0,0,48,0,106,0,42,0,54,46,52,34,52,0,60,60,56,60,54,30,78,82,78,66,54,0,0,0,0,0,0,54,54,0,56,54,0,0,106,106,106,0,0,0,56,54,52,52,28,28,30,106,44,46,44,44,46,48,46,34,36,62,58,0,0,26,0,40,0,0,30,30,0,0,38,36,38,30,30,40,0,0,26,26,0,0,0,40,30,32,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,24,106,106,0,0,0,0,48,0,106,0,42,0,52,46,52,0,52,0,62,62,56,56,54,30,78,82,78,66,54,28,0,0,0,0,28,54,54,60,54,54,60,60,106,106,106,0,0,0,56,54,54,54,28,30,30,106,48,48,46,44,46,48,46,0,36,62,58,0,0,26,0,40,0,0,30,30,0,0,38,36,38,0,0,40,0,0,26,26,0,0,20,40,30,32,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48,24,106,106,0,0,0,0,48,0,92,0,44,0,50,46,52,0,52,0,62,62,56,56,56,30,80,86,82,36,0,0,30,34,0,0,0,56,56,60,56,56,62,60,106,106,106,34,0,0,54,54,54,52,30,28,28,108,46,46,44,44,0,0,0,34,36,62,58,0,0,26,0,40,0,0,30,30,0,0,38,36,38,0,0,40,0,0,0,26,24,24,24,40,30,32,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,46,24,106,106,0,0,0,0,44,0,92,0,40,0,52,58,52,0,52,0,62,62,56,56,56,30,80,86,82,34,0,0,32,0,0,0,0,54,54,62,54,54,62,62,106,106,106,0,0,0,52,52,52,52,28,28,28,106,44,44,44,44,0,0,0,36,36,62,58,0,0,0,0,40,0,0,30,30,0,0,38,36,38,30,30,40,0,0,0,26,22,22,0,40,30,32,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
